"Seq ID",GeneID,"Locus Tag","Feature Type","Total Reads Mapping","Total RPKM (Reads Mapped)","Total Reads Mapping (Reads Mapped to Gene Models)","Total RPKM (Reads Mapped to Gene Models)","Sense Reads Mapping","Sense RPKM (Reads Mapped)","Sense RPKM (Reads Mapped to Gene Models)","Antisense Reads Mapping","Antisense RPKM (Reads Mapped)","Antisense RPKM (Reads Mapped to Gene Models)"
17,ENSG00000126353,,,8,0.051376566564763,0,0,3,0.0192662124617861,,5,0.0321103541029769,
5,ENSG00000134061,,,1311,12.5716924399237,0,0,674,6.46324996530021,,637,6.10844247462349,
5,ENSG00000164400,,,6,0.23871307147774,0,0,3,0.11935653573887,,3,0.11935653573887,
17,ENSG00000108342,,,8,0.024599991094508,0,0,2,0.00614999777362701,,6,0.018449993320881,
4,ENSG00000081041,,,129,1.69842220800549,0,0,65,0.855794135816722,,64,0.842628072188773,
5,ENSG00000113302,,,7,0.0788050840760454,0,0,3,0.0337736074611623,,4,0.0450314766148831,
6,ENSG00000226979,,,8,0.0428300760479438,0,0,4,0.0214150380239719,,4,0.0214150380239719,
1,ENSG00000162711,,,408,0.483560566819077,0,0,203,0.240595085941845,,205,0.242965480877232,
17,ENSG00000007171,,,0,0,0,0,0,,,0,,
1,ENSG00000169403,,,2556,7.75581433543901,0,0,1263,3.83239182537538,,1293,3.92342251006363,
7,ENSG00000006128,,,0,0,0,0,0,,,0,,
6,ENSG00000232810,,,284,5.26434659902805,0,0,139,2.57656400445387,,145,2.68778259457418,
1,ENSG00000186827,,,25,0.245819430363208,0,0,12,0.11799332657434,,13,0.127826103788868,
19,ENSG00000127533,,,59,0.447962252090006,0,0,30,0.227777416316952,,29,0.220184835773054,
7,ENSG00000233038,,,61,0.290454407834044,0,0,31,0.147607977751727,,30,0.142846430082317,
X,ENSG00000240143,,,63,6.04505748653925,0,0,25,2.39883233592827,,38,3.64622515061098,
3,ENSG00000181631,,,110,1.23433038226693,0,0,56,0.628386376426801,,54,0.60594400584013,
19,ENSG00000134830,,,100,0.58665367745965,0,0,50,0.293326838729825,,50,0.293326838729825,
16,ENSG00000140955,,,0,0,0,0,0,,,0,,
