Gene stable ID	Gene name	GO term accession
ENSG00000226979	LTA	GO:0016020
ENSG00000226979	LTA	GO:0005576
ENSG00000226979	LTA	GO:0006955
ENSG00000226979	LTA	GO:0005125
ENSG00000226979	LTA	GO:0005615
ENSG00000226979	LTA	GO:0005164
ENSG00000226979	LTA	GO:0005886
ENSG00000226979	LTA	GO:0033209
ENSG00000226979	LTA	GO:0007165
ENSG00000226979	LTA	GO:0007267
ENSG00000226979	LTA	GO:0006915
ENSG00000226979	LTA	GO:0005102
ENSG00000226979	LTA	GO:0001666
ENSG00000226979	LTA	GO:0002876
ENSG00000226979	LTA	GO:0002925
ENSG00000226979	LTA	GO:0006959
ENSG00000226979	LTA	GO:0007584
ENSG00000226979	LTA	GO:0032496
ENSG00000226979	LTA	GO:0032729
ENSG00000226979	LTA	GO:0042493
ENSG00000226979	LTA	GO:0043065
ENSG00000226979	LTA	GO:0044130
ENSG00000226979	LTA	GO:0048147
ENSG00000226979	LTA	GO:0048535
ENSG00000226979	LTA	GO:0050830
ENSG00000226979	LTA	GO:0060252
ENSG00000226979	LTA	
ENSG00000226979	LTA	GO:0016020
ENSG00000226979	LTA	GO:0005576
ENSG00000226979	LTA	GO:0006955
ENSG00000226979	LTA	GO:0005125
ENSG00000226979	LTA	GO:0005615
ENSG00000226979	LTA	GO:0005164
ENSG00000226979	LTA	GO:0005886
ENSG00000226979	LTA	GO:0033209
ENSG00000226979	LTA	GO:0007165
ENSG00000226979	LTA	GO:0007267
ENSG00000226979	LTA	GO:0006915
ENSG00000226979	LTA	GO:0005102
ENSG00000226979	LTA	
ENSG00000164400	CSF2	GO:0042531
ENSG00000164400	CSF2	GO:0010628
ENSG00000164400	CSF2	GO:0043231
ENSG00000164400	CSF2	GO:0018108
ENSG00000164400	CSF2	GO:0008083
ENSG00000164400	CSF2	GO:0005576
ENSG00000164400	CSF2	GO:0043547
ENSG00000164400	CSF2	GO:0005515
ENSG00000164400	CSF2	GO:0006955
ENSG00000164400	CSF2	GO:0005125
ENSG00000164400	CSF2	GO:0005125
ENSG00000164400	CSF2	GO:0005615
ENSG00000164400	CSF2	GO:0005615
ENSG00000164400	CSF2	GO:0005576
ENSG00000164400	CSF2	GO:0000165
ENSG00000164400	CSF2	GO:0005088
ENSG00000164400	CSF2	GO:0004713
ENSG00000164400	CSF2	GO:2001240
ENSG00000164400	CSF2	GO:0043011
ENSG00000164400	CSF2	GO:0010744
ENSG00000164400	CSF2	GO:0045740
ENSG00000164400	CSF2	GO:0071803
ENSG00000164400	CSF2	GO:0032747
ENSG00000164400	CSF2	GO:0097011
ENSG00000164400	CSF2	GO:0045918
ENSG00000164400	CSF2	GO:0005129
ENSG00000164400	CSF2	GO:0005129
ENSG00000164400	CSF2	GO:0001821
ENSG00000164400	CSF2	GO:0001892
ENSG00000164400	CSF2	GO:0008284
ENSG00000164400	CSF2	GO:0010468
ENSG00000164400	CSF2	GO:0030223
ENSG00000164400	CSF2	GO:0030224
ENSG00000164400	CSF2	GO:0034021
ENSG00000164400	CSF2	GO:0034405
ENSG00000164400	CSF2	GO:0042045
ENSG00000164400	CSF2	GO:0042116
ENSG00000164400	CSF2	GO:0042127
ENSG00000164400	CSF2	GO:0043011
ENSG00000164400	CSF2	GO:0045187
ENSG00000164400	CSF2	GO:0045637
ENSG00000164400	CSF2	GO:0071222
ENSG00000164400	CSF2	GO:0097028
ENSG00000164400	CSF2	GO:0097028
ENSG00000006128	TAC1	GO:0005576
ENSG00000006128	TAC1	GO:0007218
ENSG00000006128	TAC1	GO:0007217
ENSG00000006128	TAC1	GO:0005615
ENSG00000006128	TAC1	GO:0005576
ENSG00000006128	TAC1	GO:0006954
ENSG00000006128	TAC1	GO:0007268
ENSG00000006128	TAC1	GO:0007267
ENSG00000006128	TAC1	GO:0005615
ENSG00000006128	TAC1	GO:0007204
ENSG00000006128	TAC1	GO:0005102
ENSG00000006128	TAC1	GO:0031835
ENSG00000006128	TAC1	GO:0002675
ENSG00000006128	TAC1	GO:0006954
ENSG00000006128	TAC1	GO:0007204
ENSG00000006128	TAC1	GO:0007217
ENSG00000006128	TAC1	GO:0007320
ENSG00000006128	TAC1	GO:0007616
ENSG00000006128	TAC1	GO:0008217
ENSG00000006128	TAC1	GO:0008306
ENSG00000006128	TAC1	GO:0009582
ENSG00000006128	TAC1	GO:0009725
ENSG00000006128	TAC1	GO:0010459
ENSG00000006128	TAC1	GO:0010634
ENSG00000006128	TAC1	GO:0019233
ENSG00000006128	TAC1	GO:0032224
ENSG00000006128	TAC1	GO:0032230
ENSG00000006128	TAC1	GO:0032496
ENSG00000006128	TAC1	GO:0035815
ENSG00000006128	TAC1	GO:0043278
ENSG00000006128	TAC1	GO:0045760
ENSG00000006128	TAC1	GO:0045778
ENSG00000006128	TAC1	GO:0046878
ENSG00000006128	TAC1	GO:0048265
ENSG00000006128	TAC1	GO:0050671
ENSG00000006128	TAC1	GO:0051496
ENSG00000006128	TAC1	GO:1990090
ENSG00000006128	TAC1	GO:2000854
ENSG00000006128	TAC1	GO:0005615
ENSG00000006128	TAC1	GO:0005886
ENSG00000006128	TAC1	GO:0030424
ENSG00000006128	TAC1	GO:0043025
ENSG00000006128	TAC1	GO:0005576
ENSG00000006128	TAC1	GO:0007218
ENSG00000006128	TAC1	GO:0007217
ENSG00000006128	TAC1	GO:0005615
ENSG00000006128	TAC1	GO:0005576
ENSG00000006128	TAC1	GO:0006954
ENSG00000006128	TAC1	GO:0007268
ENSG00000006128	TAC1	GO:0007267
ENSG00000006128	TAC1	GO:0005615
ENSG00000006128	TAC1	GO:0007204
ENSG00000006128	TAC1	GO:0005102
ENSG00000006128	TAC1	GO:0007217
ENSG00000006128	TAC1	GO:0007320
ENSG00000006128	TAC1	GO:0009582
ENSG00000006128	TAC1	GO:0005576
ENSG00000006128	TAC1	GO:0007218
ENSG00000006128	TAC1	GO:0007217
ENSG00000006128	TAC1	GO:0005615
ENSG00000006128	TAC1	GO:0005576
ENSG00000006128	TAC1	GO:0006954
ENSG00000006128	TAC1	GO:0007268
ENSG00000006128	TAC1	GO:0007267
ENSG00000006128	TAC1	GO:0005615
ENSG00000006128	TAC1	GO:0007204
ENSG00000006128	TAC1	GO:0005102
ENSG00000006128	TAC1	GO:0007217
ENSG00000006128	TAC1	GO:0007320
ENSG00000006128	TAC1	GO:0009582
ENSG00000006128	TAC1	
ENSG00000006128	TAC1	
ENSG00000113302	IL12B	GO:0042531
ENSG00000113302	IL12B	GO:0042104
ENSG00000113302	IL12B	GO:0050729
ENSG00000113302	IL12B	GO:2000318
ENSG00000113302	IL12B	GO:0048662
ENSG00000113302	IL12B	GO:0016020
ENSG00000113302	IL12B	GO:0008083
ENSG00000113302	IL12B	GO:0005515
ENSG00000113302	IL12B	GO:0005576
ENSG00000113302	IL12B	GO:0004896
ENSG00000113302	IL12B	GO:0005125
ENSG00000113302	IL12B	GO:0005125
ENSG00000113302	IL12B	GO:0005615
ENSG00000113302	IL12B	GO:0005615
ENSG00000113302	IL12B	GO:0005576
ENSG00000113302	IL12B	GO:0042802
ENSG00000113302	IL12B	GO:0005829
ENSG00000113302	IL12B	GO:0046982
ENSG00000113302	IL12B	GO:0032946
ENSG00000113302	IL12B	GO:0035722
ENSG00000113302	IL12B	GO:0032700
ENSG00000113302	IL12B	GO:0032729
ENSG00000113302	IL12B	GO:0032733
ENSG00000113302	IL12B	GO:0032733
ENSG00000113302	IL12B	GO:0032735
ENSG00000113302	IL12B	GO:0032760
ENSG00000113302	IL12B	GO:0042088
ENSG00000113302	IL12B	GO:0042346
ENSG00000113302	IL12B	GO:0050829
ENSG00000113302	IL12B	GO:0045785
ENSG00000113302	IL12B	GO:0005788
ENSG00000113302	IL12B	GO:0030101
ENSG00000113302	IL12B	GO:0016477
ENSG00000113302	IL12B	GO:0045672
ENSG00000113302	IL12B	GO:0045078
ENSG00000113302	IL12B	GO:0050671
ENSG00000113302	IL12B	GO:0005143
ENSG00000113302	IL12B	GO:0007050
ENSG00000113302	IL12B	GO:0032740
ENSG00000113302	IL12B	GO:0010536
ENSG00000113302	IL12B	GO:0034393
ENSG00000113302	IL12B	GO:0032725
ENSG00000113302	IL12B	GO:0042102
